Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1600-1699,1600 - Bruges (Belgium),Excluded — no locatable site identified,research_findings excluded 7f724ed5-2a0e-4611-adef-cb66848b861c,
1600-1699,1600 - Concepcion (Chile),Excluded — no locatable site identified,research_findings excluded caad30c8-c820-472b-8ac0-60d12f31c83f,
1600-1699,"1600 - Mariahilf, Passali (Germany)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 925f88fa-d269-46ee-b755-24ef11f5adf7,
1600-1699,1600 - Palma de Mallorca (Spain),Excluded — no locatable site identified,research_findings excluded 59d7bfd5-f5c1-40aa-81d2-5dd5d9af4c28,
1600-1699,1601 - Aljubarrota (Portugal),"Queued for approval (cross-page duplicate: same shrine already logged on the 1300-1399 CSV as its own ""Aljubarrota"" entry — Chapel of Our Lady of the Light, Fonte Santa, near Coz, Alcobaça; MiracleHunter link already present from that pass)",research_findings candidate a68d3bc9-61b4-4907-b4dd-03ac1e5eb403,
1600-1699,1601 - San Severino (Italy),Excluded — no locatable site identified,research_findings excluded b1818e22-20f3-4446-bbfc-6fc58959e316,
1600-1699,1601 - Brune (France),Excluded — no locatable site identified,research_findings excluded 872ec661-1f89-4538-a2f1-3ec341b49c15,
1600-1699,1601 - Aleth (France),Excluded — no locatable site identified,research_findings excluded fca38fab-341c-47d2-9595-8998b0649ac9,
1600-1699,1602 - Lampedusa (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 3f9247ee-9835-4f72-951e-45071985a996,
1600-1699,1602 - Rome (Italy),Excluded — no locatable site identified,research_findings excluded 4a399330-b1de-43d8-9e86-540b7dfcc22f,
1600-1699,1602 - Verdun (France),Excluded — no locatable site identified,research_findings excluded 563f40c3-2a35-4c0d-9d00-32244efb979c,
1600-1699,"June 10, 1602 - Monsummano Alto, Pistoia, Tuscany (Italy)","Queued for approval (cross-page duplicate: same shrine/tradition already logged on the 1500-1599 CSV as the ""Jun 9, 1573 Monsummano Terme"" entry)",research_findings candidate 86573423-2839-4324-b47f-653ebedac842,
1600-1699,"Aug 18, 1602 - Borgo Santa Caterina (Lombardia)",Excluded — no locatable site identified,research_findings excluded 5d447618-11ec-48ba-a570-42425f2b26bd,
1600-1699,"Sept 15, 1602 - Lenola (Italy)","Queued for approval (dedicated MiracleHunter subpage link; record corrected this pass — was erroneously marked a stale duplicate with no surviving target found; it is a real, distinct, well-documented shrine, the Sanctuary of Our Lady of the Hill / Madonna del Colle)",research_findings candidate b61c2fad-8581-4d64-8d9b-01199bf3fe39,
1600-1699,1604 - Ingolstadt (Germany),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c709e982-cd26-46b8-958c-c9470cedc257,jakob-rem
1600-1699,1605 - Le Puy en Velay (France),Excluded — no locatable site identified,research_findings excluded 07f70efe-97fe-4d94-a09e-cd9b5b8d1542,
1600-1699,"1606 - Helligwasser, Innsbruck (Austria - Germany)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 4ce55b12-a72f-41d2-8747-c734ec8419be,
1600-1699,"June 5, 1606 - Argenta (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 272c7086-db40-4405-aee3-844cf3f0ee3e,
1600-1699,"June 23, 1607 - Ardesio (Italy)",Queued for approval (dedicated MiracleHunter subpage link added this pass — was missing),research_findings candidate bdf9d70f-37bf-4b4f-84ed-6c0e65c952d3,
1600-1699,1608 - Bamberg (Germany),Excluded — no locatable site identified (new excluded record written this pass — entry was missing from the prior research batch entirely),research_findings excluded 46977a13-37b1-4077-ba3d-bc341b1c0637,
1600-1699,1608 - Florence,Excluded — no locatable site identified (new excluded record written this pass — entry was missing from the prior research batch entirely; distinct from the already-covered Santa Maria degli Angeli / Mary Magdalene de'Pazzi candidate),research_findings excluded 213acaef-040b-4e06-8e05-7f82d513faf6,
1600-1699,1608 - Paris (France),Excluded — no locatable site identified (new excluded record written this pass — entry was missing from the prior research batch entirely),research_findings excluded bf434a0b-f649-4a26-bdc3-f9c8befa438c,
1600-1699,1608 - Siluva (Lithuania),"Approved, in sites (MiracleHunter itself notes BISHOP APPROVED WITH VATICAN RECOGNITION; a proposed_modification research row is pending separate review, no action needed here — tag and link already complete)",https://orbisdei.org/site/lt-siluva-basilica-of-the-nativity-of-the-blessed-virgin-mary,
1600-1699,1608 - Sanlúcar de Barrameda (Spain),Excluded — no locatable site identified (new excluded record written this pass — entry was missing from the prior research batch entirely; one-line entry with no narrative content),research_findings excluded 699b4d61-ae92-49b4-a616-27b8c0878571,
1600-1699,"July 1608 - San Bartolomeo al Mare (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 1fa238cd-36b6-4910-8cfd-ee5c4bdabba3,
1600-1699,1609 - Bordeaux (France),Excluded — no locatable site identified,research_findings excluded 44618a18-9ed5-4bde-bbff-4941e6e84bd1,
1600-1699,1609 - Rome (Italy),Excluded — no locatable site identified,research_findings excluded f0e81bec-8dfa-409a-96af-68b1bf039103,
1600-1699,1609 - Le Puy (France),Excluded — no locatable site identified,research_findings excluded 9476fdb9-58eb-43a6-b89c-b8b7e3f9580b,
1600-1699,1610 - Fribourg (Switzerland),Excluded — no locatable site identified,research_findings excluded 57e5ab78-60e5-4eb2-9d9b-897a07d4fc0b,
1600-1699,"1610 - Manaoag, Pangasinan (Philippines)","Approved, in sites (stale duplicate research_findings candidate row already marked duplicate by an earlier pass, pointing here; tag and MiracleHunter link on the published site are both already complete)",https://orbisdei.org/site/ph-manaoag-minor-basilica-of-our-lady-of-the-rosary-of-manaoag,
1600-1699,"1611 - Bingsacan, Taal (Philippines)","Queued for approval (MiracleHunter link added this pass — was missing; same shrine as the 1619 ""Caysasay, Taal"" entry below — recurring apparitions at one site, one candidate record, two MiracleHunter rows)",research_findings candidate ee6840bf-91fe-435d-8f94-f4bba039c50f,
1600-1699,c.1610 - Saragossa (Spain),Excluded — no locatable site identified,research_findings excluded a174f84e-203c-4e9a-8826-c8b969958a5f,
1600-1699,1610 - Malta,Excluded — no locatable site identified,research_findings excluded 95d4356d-c854-40ad-bbf5-12253b494752,
1600-1699,1610 - Rome (Italy),Excluded — no locatable site identified,research_findings excluded 3e333945-d787-480b-9e30-51b598c14456,
1600-1699,1614 - Lublin (Poland),Excluded — no locatable site identified,research_findings excluded 034f0e39-3d31-496d-8207-d415f00e5134,
1600-1699,1614 - Nuremberg (Germany),Excluded — no locatable site identified,research_findings excluded c4b335d9-fa7d-4a36-9508-335ebd56fa8e,
1600-1699,1614 - Paris (France),Excluded — no locatable site identified,research_findings excluded fa3931e0-81be-4deb-91d3-105c0a50d845,
1600-1699,1616 - Philippines,Excluded — no locatable site identified,research_findings excluded 077701e5-95b0-426a-925b-614b51a302af,
1600-1699,"July 5, 1615 - Chioggia (Italy)",Excluded — no locatable site identified,research_findings excluded 22c3ab26-f20c-42bd-bef6-75043a6bbeb4,
1600-1699,1616 - Stans (Switzerland),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 72145992-9b6d-4f01-bd5e-77304bb7f6a4,
1600-1699,"Sept 24, 1616 - Berzo Inferiore (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 7a2d6408-d687-4d92-8148-f257e1d25bbd,
1600-1699,"Feb 2, 1617 - Naples (Italy)",Excluded — no locatable site identified,research_findings excluded feed09dc-03e1-4848-a106-e5ebaaba514b,
1600-1699,"May 9, 1617 - Imbersago (Lombardy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 09e5fc5b-e086-4c8e-a172-f3c82abe947e,
1600-1699,"Aug 27, 1619 - Ribordone, Torino, Piedmont (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate a20bb479-ae2b-4475-bc53-b3664eaecf31,
1600-1699,"1619 - Caysasay, Taal (Philippines)","Queued for approval (MiracleHunter link added this pass — was missing; same shrine as the 1611 ""Bingsacan, Taal"" entry above)",research_findings candidate ee6840bf-91fe-435d-8f94-f4bba039c50f,
1600-1699,1617 - Lima (Peru),"Queued for approval (matched to a candidate surfaced by a separate St. Rose of Lima holy-person research pass — Basilica and Convent of Santo Domingo, which MiracleHunter's own text describes as ""Our Lady of the Rosary Church in Lima""; marian-sites tag and MiracleHunter link both added this pass — were missing)",research_findings candidate 937ddfa8-4f95-4ee1-883a-37da5548b70b,"rose-lima, martin-de-porres"
1600-1699,"1620 - Alessandria della Rocca, Sicily (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate bae4735a-fe23-4e1f-8229-ad22cd0b877b,
1600-1699,1620 - Alcoy (Spain),Excluded — no locatable site identified,research_findings excluded 0cf2d7b1-5169-4252-98b0-3bbdfcc69e64,
1600-1699,Feb 1623 - Castel San Pietro (Italy),Excluded — no locatable site identified,research_findings excluded 77fd63ad-520e-4960-b6a8-6a64f3280416,
1600-1699,"June 21, 1623 - Bosentino (Italy)",Excluded — no locatable site identified,research_findings excluded 0dee62c3-f847-4e64-9638-af349289b340,
1600-1699,"June 21, 1623 - Ozegna (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate e6e3e17d-31de-4058-9f2b-cf85d5face56,
1600-1699,1623 - Paris (France),Excluded — no locatable site identified,research_findings excluded 4598add5-b16d-43f5-b56e-ed84dc34488f,
1600-1699,1624 - Auray (England),Excluded — no locatable site identified (empty entry, no content),research_findings excluded 0d7014b8-bfca-4bc3-aa37-c97fa2517721,
1600-1699,1624 - Goa (India),Excluded — no locatable site identified,research_findings excluded 20dac820-80fc-4aae-b079-0b5a47cbdf12,
1600-1699,1625 - Quimper (France),Excluded — no locatable site identified,research_findings excluded e452c277-fe0f-40e9-aa10-a0c38d549ea4,
1600-1699,"1625 - Santa Fe, NM (USA)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 9d88152f-6eb2-48eb-a666-00314341899a,
1600-1699,1625 - Paris (France),Excluded — no locatable site identified,research_findings excluded 7be4e5f8-6f84-42ee-b0f7-7ce9e97516c6,
1600-1699,1627 - Langeac (France),Excluded — no locatable site identified,research_findings excluded 1de31606-0fdf-4e65-ac39-6398cc067674,
1600-1699,1629 - Maria Bildstein (Austria),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 171354ab-533e-4a79-85e9-870e43b7f135,
1600-1699,1630 - São Vicente de Aljubarrota (Portugal),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate a2a4f96a-3bb8-4915-9f8e-1103f5d0cc91,
1600-1699,1630 - Lure (France),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 731f50ae-dd42-4462-a7b6-ac755a2a2f5b,
1600-1699,"June 1, 1630 - Leini, Torino, Piedmont (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate dd619353-2174-480d-a214-ebc7ff31fc4c,
1600-1699,"Sept 30, 1630 - Forno Alpi Graie (Italy)","Queued for approval (MiracleHunter link added this pass — was missing; matched via Groscavallo, the town MiracleHunter's own text names)",research_findings candidate bb01c978-9aa4-4505-857f-97b5d408a034,
1600-1699,"1630 - Gandos di Galleno (Italy, Lombardy, Diocese of Brescia)",Not previously ingested — written as new lead this pass (entry was missing from the prior research batch entirely; web-verified real shrine — Madonna del Rosario di Gandòs at the Church of St. Bartholomew),research_findings lead 04c6d4c6-905f-48c2-b31a-c17a8699bb0b,
1600-1699,1631 - Naples (Italy),Excluded — no locatable site identified,research_findings excluded e7ecd0e9-7b49-4b47-af2a-27608dd5f15b,
