Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1200-1299,"ca. 1200 - Osimo, Marche (Italy)","Queued for approval (MiracleHunter's own ""More on this apparition"" link for this entry actually points to the Castiglion Fiorentino subpage, not a dedicated Osimo page -- used the category index instead this pass; MiracleHunter source link added)",research_findings candidate 23e23b0a-1c93-45de-90ba-1fe8d4539fc5,sylvester-guzzolini
1200-1299,"ca. 1200 - Cornuda, Treviso (Italy)",Queued for approval (MiracleHunter source link added this pass -- was missing),research_findings candidate 1c9e672d-91cb-4475-946b-65fc8a0d8777,
1200-1299,ca. 1200 - Loccum (Germany),Queued for approval (MiracleHunter source link added this pass),research_findings candidate 9ef85c42-7f3b-44d9-a3e6-6039523086d3,adam-loccum
1200-1299,"1200 - Castiglion Fiorentino, Tuscany, Diocese of Arezzo (Italy)",Queued for approval,research_findings candidate 226d7f50-f990-4b7b-82c6-efa434d353a7,
1200-1299,"1200 - Heisterbach (Germany) [Visionary: Henry, future abbot]","Queued for approval (MiracleHunter source link added this pass; this record also covers the undated Cistercian-Monks Heisterbach entry later on this page -- same physical site, second apparition tradition)",research_findings candidate 47ea944f-43f5-4570-8ba1-3c455217bc17,
1200-1299,1205 - Sint-Truiden (Belgium) [Visionary: St. Lutgard of Tongres],"Queued for approval (matched to Aywieres Abbey, where Lutgard's apparitions continued and are best documented from 1206 on, rather than the St. Catherine convent named for 1205; MiracleHunter source link added this pass)",research_findings candidate 30c7cfb1-e464-40c1-b134-310edb010230,lutgardis-tongeren
1200-1299,"1208 - Prouille, Toulouse (France) [Visionary: St. Dominic Guzman]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 50a8dcef-69ab-4728-8cc6-f1c4fb3cebc2,dominic-guzman
1200-1299,"May 26, 1208 - Sorso, Sassari (Italy)",Queued for approval,research_findings candidate c8d70f7e-94ce-4b3f-b08f-1bd9f4b683e8,
1200-1299,1214 - Clairefontane (Luxembourg) [Visionary: Princess Ermesinde],Queued for approval (MiracleHunter source link added this pass),research_findings candidate a7a99c69-bf4e-4128-a282-a78e96e53518,
1200-1299,"1216 - Assisi, Umbria (Italy) [Visionary: St. Francis of Assisi / Porziuncola]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 78a6f4b9-f949-4cc3-9c5f-95fef0115902,francis-assisi
1200-1299,"undated (between the 1216 Assisi and 1218 Barcelona entries) - Villers (Belgium) [Visionary: a lay brother, leprosy]","Queued for approval (MiracleHunter source link added this pass; this record also covers the undated Gottardo/Villers entry later on this page -- same physical site, second apparition tradition)",research_findings candidate b09664e0-00cd-4796-b2cc-c4183cc96450,
1200-1299,undated (between the 1216 Assisi and 1218 Barcelona entries) - Paris (France) [Visionary: Bl. Boniface],Not previously ingested -- written as new lead this pass,research_findings lead 3a0170c3-3029-4801-8828-f33f5adecb55,
1200-1299,"Aug 1-2, 1218 - Barcelona (Spain) [Visionary: Saint Peter Nolasco]",Queued for approval,research_findings candidate d5f20496-b64e-4cf7-bb90-6ed45c1606af,peter-nolasco
1200-1299,"undated (ca. 1218, same block as Barcelona) - Rome (Italy) [Visionary: Deacon Reginald of Orleans]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded e13c9860-5359-4934-b974-2e0bc77013a6,
1200-1299,"undated (ca. 1218, same block as Barcelona) - Trier (Germany) [Visionary: a priest]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded f1b2fe2a-e61a-40b8-bb63-816975f28de2,
