Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
Vatican Approved,1531 - Guadalupe (Mexico),"Approved, in sites",https://orbisdei.org/site/mx-mexico-city-basilica-of-our-lady-of-guadalupe,juan-diego
Vatican Approved,1578 - Lezajsk (Poland),"Approved, in sites",https://orbisdei.org/site/pl-lezajsk-sanctuary-of-our-lady-of-consolation-monastery-of-the-bernardine-fathers-in-lezajsk,
Vatican Approved,1608 - Siluva (Lithuania),"Approved, in sites",https://orbisdei.org/site/lt-siluva-basilica-of-the-nativity-of-the-blessed-virgin-mary,
Vatican Approved,1664 - Laus (France),"Approved, in sites (enrichment proposal pending admin review)",https://orbisdei.org/site/fr-saint-etienne-le-laus-sanctuary-of-our-lady-of-laus,benoite-rencurel
Vatican Approved,1830 - Rue du Bac / Paris (France),"Approved, in sites",https://orbisdei.org/site/fr-paris-chapel-of-our-lady-of-the-miraculous-medal,"catherine-laboure, louise-de-marillac, vincent-de-paul"
Vatican Approved,1842 - Rome (Italy),"Approved, in sites",https://orbisdei.org/site/it-rome-santandrea-delle-fratte-st-andrew-of-the-thickets,"maximilian-kolbe, marie-alphonse-ratisbonne"
Vatican Approved,1846 - La Salette (France),"Approved, in sites",https://orbisdei.org/site/fr-la-salette-fallavaux-sanctuary-of-our-lady-of-la-salette,
Vatican Approved,1858 - Lourdes (France),"Approved, in sites",https://orbisdei.org/site/fr-lourdes-sanctuary-of-our-lady-of-lourdes,bernadette-soubirous
Vatican Approved,1866 - Filippsdorf (Czech Republic),"Approved, in sites",https://orbisdei.org/site/cz-filipov-basilica-of-our-lady-help-of-christians,
Vatican Approved,1871 - Pontmain (France),"Approved, in sites",https://orbisdei.org/site/fr-pontmain-basilica-of-pontmain,
Vatican Approved,1877 - Gietrzwald (Poland),"Approved, in sites",https://orbisdei.org/site/pl-giertzwald-sanctuary-of-our-lady-of-gietrzwald,
Vatican Approved,1879 - Knock (Ireland),"Approved, in sites",https://orbisdei.org/site/ie-knock-knock-shrine,
Vatican Approved,1917 - Fatima (Portugal),"Approved, in sites",https://orbisdei.org/site/pt-fatima-sanctuary-of-our-lady-of-the-rosary-of-fatima,"francisco-and-jacinta-marto, lucia-dos-santos"
Vatican Approved,1932 - Beauraing (Belgium),Queued for approval (MiracleHunter source link added this pass - was missing),research_findings candidate b2fbb93a-4399-415f-a524-426cec32dc37,
Vatican Approved,1933 - Banneux (Belgium),Queued for approval (MiracleHunter source link added this pass - was missing),research_findings candidate 039a4783-da84-4b23-8337-53e83d13638f,
Vatican Approved,1981 - Kibeho (Rwanda),"Approved, in sites (enrichment proposal pending admin review)",https://orbisdei.org/site/rw-kibeho-shrine-of-our-lady-of-kibeho,
